t (s),L2
0,0.912871
100,0.821065
200,0.742285
300,0.671587
400,0.607749
500,11.9738
600,21859.5
700,3.99524e+07
800,7.30221e+10
900,1.33465e+14
1000,2.43939e+17
1100,4.45855e+20
1200,8.14906e+23
1300,1.48943e+27
1400,2.72229e+30
1500,4.97562e+33
1600,9.09412e+36
1700,1.66217e+40
1800,3.038e+43
1900,5.55266e+46
2000,1.01488e+50
2100,1.85493e+53
2200,3.39032e+56
2300,6.19661e+59
2400,1.13258e+63
2500,2.07005e+66
2600,3.78351e+69
2700,6.91525e+72
2800,1.26393e+76
2900,2.31012e+79
3000,4.22229e+82
