t (s),L2
0,0.912871
100,0.821159
200,0.742431
300,0.671779
400,0.607944
500,0.550192
600,0.497929
700,0.45063
800,0.407825
900,0.369086
1000,0.334027
1100,0.302298
1200,0.273582
1300,0.247595
1400,0.224076
1500,0.202791
1600,0.183528
1700,0.166095
1800,0.150318
1900,0.136039
2000,0.123117
2100,0.111422
2200,0.100838
2300,0.0912594
2400,0.0825907
2500,0.0747454
2600,0.0676454
2700,0.0612198
2800,0.0554045
2900,0.0501417
3000,0.0453788
