t (s),L2
0,0.912871
100,0.821263
200,0.742592
300,0.671991
400,0.608199
500,0.550479
600,0.498241
700,0.45096
800,0.408166
900,0.369433
1000,0.334376
1100,0.302645
1200,0.273926
1300,0.247931
1400,0.224404
1500,0.203109
1600,0.183835
1700,0.16639
1800,0.1506
1900,0.136309
2000,0.123374
2100,0.111667
2200,0.10107
2300,0.0914789
2400,0.082798
2500,0.0749409
2600,0.0678294
2700,0.0613927
2800,0.0555668
2900,0.0502938
3000,0.0455212
