t (s),L2
0,0.912871
100,0.821115
200,0.742362
300,0.671688
400,0.607835
500,0.550068
600,0.497795
700,0.450489
800,0.407679
900,0.368937
1000,0.333877
1100,0.302148
1200,0.273435
1300,0.247451
1400,0.223935
1500,0.202655
1600,0.183396
1700,0.165968
1800,0.150196
1900,0.135923
2000,0.123006
2100,0.111317
2200,0.100738
2300,0.0911653
2400,0.0825018
2500,0.0746617
2600,0.0675666
2700,0.0611457
2800,0.055335
2900,0.0500765
3000,0.0453177
