t (s),L2
0,0.912871
100,0.821213
200,0.742515
300,0.67189
400,0.608078
500,0.550342
600,0.498092
700,0.450803
800,0.408004
900,0.369268
1000,0.33421
1100,0.30248
1200,0.273762
1300,0.247771
1400,0.224248
1500,0.202958
1600,0.183689
1700,0.16625
1800,0.150466
1900,0.136181
2000,0.123252
2100,0.11155
2200,0.100959
2300,0.0913744
2400,0.0826993
2500,0.0748478
2600,0.0677418
2700,0.0613104
2800,0.0554895
2900,0.0502214
3000,0.0454534
